y,b,media_estrategias_mantidas,std_estrategias_mantidas
9,41,1.79,0.4093601807403323
9,42,1.78,0.4163331998932265
10,41,1.8,0.4020151261036849
10,42,1.79,0.4093601807403323
6,41,1.76,0.4292346959909278
6,42,1.75,0.4351941398892445
7,41,1.76,0.4292346959909278
7,42,1.75,0.4351941398892445
8,41,1.76,0.4292346959909278
8,42,1.75,0.4351941398892445
9,41,1.79,0.4093601807403323
9,42,1.78,0.4163331998932265
10,41,1.8,0.4020151261036849
10,42,1.79,0.4093601807403323
11,1,2.0,0.0
11,2,2.15,0.978299906506541
11,3,2.96,0.2814105882725793
11,4,2.96,0.2814105882725793
11,5,2.98,0.1999999999999999
12,1,2.0,0.0
12,2,2.0,0.0
12,3,1.67,0.9433981132056606
12,4,1.68,0.9521904571390464
12,5,1.66,0.9451631252505216
13,1,2.0,0.0
13,2,2.0,0.0
13,3,1.04,0.2814105882725794
13,4,1.02,0.1999999999999999
13,5,1.02,0.1999999999999999
14,1,2.0,0.0
14,2,2.0,0.0
14,3,1.99,0.1
14,4,1.0,0.0
14,5,1.0,0.0
15,1,2.0,0.0
15,2,2.0,0.0
15,3,2.0,0.0
15,4,1.0,0.0
15,5,1.0,0.0
11,6,2.98,0.1999999999999999
11,7,2.98,0.1999999999999999
11,8,2.98,0.1999999999999999
11,9,3.0,0.0
11,10,3.0,0.0
12,6,1.69,0.9502259167846836
12,7,1.72,0.9648363026488436
12,8,1.72,0.9648363026488436
12,9,2.34,0.9451631252505216
12,10,2.66,0.7550503361372737
13,6,1.02,0.1999999999999999
13,7,1.01,0.0999999999999999
13,8,1.01,0.0999999999999999
13,9,1.16,0.5453198486885814
13,10,1.42,0.8187203614806647
14,6,1.0,0.0
14,7,1.0,0.0
14,8,1.0,0.0
14,9,1.04,0.2814105882725794
14,10,1.06,0.3428932159955306
15,6,1.0,0.0
15,7,1.0,0.0
15,8,1.0,0.0
15,9,1.0,0.0
15,10,1.0,0.0
11,11,2.98,0.1999999999999999
11,12,2.62,0.788554488807325
11,13,1.54,0.8923920866769471
11,14,1.02,0.2
11,15,1.0,0.0
12,11,2.72,0.6974701760395541
12,12,2.26,0.9704731741878196
12,13,1.36,0.7722458393307383
12,14,1.04,0.2814105882725794
12,15,1.0,0.0
13,11,1.72,0.9648363026488436
13,12,1.48,0.8584693919818557
13,13,1.28,0.697470176039554
13,14,1.06,0.3428932159955306
13,15,1.04,0.2814105882725794
14,11,1.1,0.4380858271151807
14,12,1.18,0.5752469825293227
14,13,1.12,0.477366513151884
14,14,1.05,0.2611164839335467
14,15,1.04,0.2428783625395621
15,11,1.0,0.0
15,12,1.02,0.2
15,13,1.0,0.0
15,14,1.07,0.2931886695621029
15,15,1.22,0.4163331998932265
11,16,1.0,0.0
11,17,1.0,0.0
11,18,1.0,0.0
11,19,2.0,0.0
11,20,1.01,0.0999999999999999
12,16,1.0,0.0
12,17,1.0,0.0
12,18,1.0,0.0
12,19,2.0,0.0
12,20,1.0,0.0
13,16,1.0,0.0
13,17,1.0,0.0
13,18,1.0,0.0
13,19,2.0,0.0
13,20,1.02,0.1999999999999999
14,16,1.01,0.1
14,17,1.0,0.0
14,18,1.02,0.1999999999999999
14,19,2.02,0.1407052941362897
14,20,1.2,0.6030226891555271
15,16,1.01,0.1
15,17,1.0,0.0
15,18,1.0,0.0
15,19,2.04,0.1969463855669323
15,20,1.51,0.8703302519588455
11,21,2.0,0.0
11,22,2.0,0.0
11,23,2.0,0.0
11,24,2.0,0.0
11,25,2.0,0.0
12,21,2.0,0.0
12,22,2.0,0.0
12,23,2.0,0.0
12,24,2.0,0.0
12,25,2.0,0.0
13,21,2.0,0.0
13,22,2.0,0.0
13,23,2.0,0.0
13,24,2.0,0.0
13,25,2.0,0.0
14,21,2.01,0.1
14,22,2.01,0.0999999999999999
14,23,2.0,0.0
14,24,2.0,0.0
14,25,2.0,0.0
15,21,2.08,0.2726599243442907
15,22,2.0,0.0
15,23,2.0,0.0
15,24,2.02,0.1407052941362897
15,25,2.0,0.0
11,26,2.0,0.0
11,27,2.0,0.0
11,28,2.0,0.0
11,29,2.0,0.0
11,30,2.0,0.0
12,26,2.0,0.0
12,27,2.0,0.0
12,28,2.0,0.0
12,29,2.0,0.0
12,30,2.0,0.0
13,26,2.0,0.0
13,27,2.0,0.0
13,28,2.0,0.0
13,29,2.0,0.0
13,30,2.0,0.0
14,26,2.0,0.0
14,27,2.0,0.0
14,28,2.0,0.0
14,29,2.0,0.0
14,30,2.0,0.0
15,26,2.0,0.0
15,27,2.0,0.0
15,28,2.0,0.0
15,29,2.0,0.0
15,30,2.0,0.0
11,31,2.0,0.0
11,32,1.96,0.1969463855669323
11,33,1.94,0.238683256575942
11,34,1.85,0.3588702812826367
11,35,1.65,0.4793724854411024
12,31,2.0,0.0
12,32,1.97,0.1714466079977653
12,33,1.95,0.2190429135575903
12,34,1.86,0.348735088019777
12,35,1.71,0.4560480215720686
13,31,2.0,0.0
13,32,1.98,0.1407052941362896
13,33,1.97,0.1714466079977653
13,34,1.86,0.348735088019777
13,35,1.77,0.4229525846816507
14,31,2.0,0.0
14,32,1.99,0.0999999999999999
14,33,1.97,0.1714466079977653
14,34,1.87,0.3379976689896311
14,35,1.81,0.3942772444036626
15,31,2.0,0.0
15,32,1.99,0.0999999999999999
15,33,1.97,0.1714466079977653
15,34,1.87,0.3379976689896311
15,35,1.83,0.3775251680686369
11,36,1.57,0.497569851956243
11,37,1.62,0.4878317312145633
11,38,1.69,0.4648231987117318
11,39,1.77,0.4229525846816507
11,40,1.76,0.4292346959909278
12,36,1.6,0.4923659639173309
12,37,1.65,0.4793724854411023
12,38,1.7,0.4605661864718382
12,39,1.79,0.4093601807403323
12,40,1.79,0.4093601807403323
13,36,1.63,0.4852365870939097
13,37,1.67,0.4725815626252607
13,38,1.71,0.4560480215720685
13,39,1.8,0.4020151261036848
13,40,1.82,0.3861229196653691
14,36,1.67,0.4725815626252609
14,37,1.71,0.4560480215720685
14,38,1.79,0.4093601807403323
14,39,1.83,0.3775251680686369
14,40,1.84,0.3684529491774708
15,36,1.68,0.4688261722621507
15,37,1.72,0.451260859854213
15,38,1.82,0.3861229196653691
15,39,1.83,0.3775251680686369
15,40,1.85,0.3588702812826366
11,41,1.82,0.3861229196653692
11,42,1.81,0.3942772444036626
12,41,1.84,0.3684529491774705
12,42,1.82,0.3861229196653691
13,41,1.84,0.3684529491774705
13,42,1.83,0.3775251680686369
14,41,1.85,0.3588702812826367
14,42,1.85,0.3588702812826367
15,41,1.87,0.3379976689896311
15,42,1.86,0.348735088019777
11,41,1.82,0.3861229196653692
11,42,1.81,0.3942772444036626
12,41,1.84,0.3684529491774705
12,42,1.82,0.3861229196653691
13,41,1.84,0.3684529491774705
13,42,1.83,0.3775251680686369
14,41,1.85,0.3588702812826367
14,42,1.85,0.3588702812826367
15,41,1.87,0.3379976689896311
