y,b,prop_B_mantida,prop_O_mantida,prop_Y_mantida
10,29,1.0,1.0,0.0
10,30,1.0,1.0,0.0
6,31,1.0,0.99,0.0
6,32,1.0,0.95,0.0
6,33,1.0,0.89,0.0
6,34,1.0,0.8,0.0
6,35,1.0,0.61,0.0
7,31,1.0,0.99,0.0
7,32,1.0,0.95,0.0
7,33,1.0,0.89,0.0
7,34,1.0,0.8,0.0
7,35,1.0,0.61,0.0
8,31,1.0,0.99,0.0
8,32,1.0,0.95,0.0
8,33,1.0,0.89,0.0
8,34,1.0,0.8,0.0
8,35,1.0,0.61,0.0
9,31,1.0,0.99,0.0
9,32,1.0,0.96,0.0
9,33,1.0,0.91,0.0
9,34,1.0,0.82,0.0
9,35,1.0,0.62,0.0
10,31,1.0,0.99,0.0
10,32,1.0,0.96,0.0
10,33,1.0,0.92,0.0
10,34,1.0,0.83,0.0
10,35,1.0,0.65,0.0
6,36,1.0,0.53,0.0
6,37,1.0,0.54,0.0
6,38,1.0,0.63,0.0
6,39,1.0,0.69,0.0
6,40,1.0,0.71,0.0
7,36,1.0,0.53,0.0
7,37,1.0,0.54,0.0
7,38,1.0,0.63,0.0
7,39,1.0,0.69,0.0
7,40,1.0,0.71,0.0
8,36,1.0,0.53,0.0
8,37,1.0,0.54,0.0
8,38,1.0,0.63,0.0
8,39,1.0,0.69,0.0
8,40,1.0,0.71,0.0
9,36,1.0,0.56,0.0
9,37,1.0,0.57,0.0
9,38,1.0,0.63,0.0
9,39,1.0,0.71,0.0
9,40,1.0,0.71,0.0
10,36,1.0,0.57,0.0
10,37,1.0,0.62,0.0
10,38,1.0,0.65,0.0
10,39,1.0,0.73,0.0
10,40,1.0,0.74,0.0
6,41,1.0,0.76,0.0
6,42,1.0,0.75,0.0
7,41,1.0,0.76,0.0
7,42,1.0,0.75,0.0
8,41,1.0,0.76,0.0
8,42,1.0,0.75,0.0
9,41,1.0,0.79,0.0
9,42,1.0,0.78,0.0
10,41,1.0,0.8,0.0
10,42,1.0,0.79,0.0
6,41,1.0,0.76,0.0
6,42,1.0,0.75,0.0
7,41,1.0,0.76,0.0
7,42,1.0,0.75,0.0
8,41,1.0,0.76,0.0
8,42,1.0,0.75,0.0
9,41,1.0,0.79,0.0
9,42,1.0,0.78,0.0
10,41,1.0,0.8,0.0
10,42,1.0,0.79,0.0
11,1,1.0,0.0,1.0
11,2,1.0,0.56,0.59
11,3,1.0,0.98,0.98
11,4,0.98,1.0,0.98
11,5,0.99,1.0,0.99
12,1,1.0,0.0,1.0
12,2,1.0,0.0,1.0
12,3,0.99,0.34,0.34
12,4,0.75,0.59,0.34
12,5,0.77,0.56,0.33
13,1,1.0,0.0,1.0
13,2,1.0,0.0,1.0
13,3,1.0,0.02,0.02
13,4,0.99,0.02,0.01
13,5,0.99,0.02,0.01
14,1,1.0,0.0,1.0
14,2,1.0,0.0,1.0
