y,o,media_estrategias_mantidas,std_estrategias_mantidas
17,40,1.0,0.0
18,36,1.0,0.0
18,37,1.0,0.0
18,38,1.0,0.0
18,39,1.0,0.0
18,40,1.0,0.0
19,36,1.0,0.0
19,37,1.0,0.0
19,38,1.0,0.0
19,39,1.0,0.0
19,40,1.0,0.0
20,36,1.0,0.0
20,37,1.0,0.0
20,38,1.0,0.0
20,39,1.0,0.0
20,40,1.0,0.0
16,41,1.0,0.0
16,42,1.0,0.0
17,41,1.0,0.0
17,42,1.0,0.0
18,41,1.0,0.0
18,42,1.0,0.0
19,41,1.0,0.0
19,42,1.0,0.0
20,41,1.0,0.0
20,42,1.0,0.0
16,41,1.0,0.0
16,42,1.0,0.0
17,41,1.0,0.0
17,42,1.0,0.0
18,41,1.0,0.0
18,42,1.0,0.0
19,41,1.0,0.0
19,42,1.0,0.0
20,41,1.0,0.0
20,42,1.0,0.0
21,1,2.0,0.0
21,2,2.0,0.0
21,3,2.0,0.0
21,4,2.0,0.0
21,5,2.0,0.0
22,1,2.0,0.0
22,2,2.0,0.0
22,3,2.0,0.0
22,4,2.0,0.0
22,5,2.0,0.0
23,1,2.0,0.0
23,2,2.0,0.0
23,3,2.0,0.0
23,4,2.0,0.0
23,5,2.0,0.0
24,1,2.0,0.0
24,2,2.0,0.0
24,3,2.0,0.0
24,4,2.0,0.0
24,5,2.0,0.0
25,1,2.0,0.0
25,2,2.0,0.0
25,3,2.0,0.0
25,4,2.0,0.0
25,5,2.0,0.0
21,6,2.0,0.0
21,7,2.0,0.0
21,8,2.0,0.0
21,9,2.0,0.0
21,10,2.0,0.0
22,6,2.0,0.0
22,7,2.0,0.0
22,8,2.0,0.0
22,9,2.0,0.0
22,10,2.0,0.0
23,6,2.0,0.0
23,7,2.0,0.0
23,8,2.0,0.0
23,9,2.0,0.0
23,10,2.0,0.0
24,6,2.0,0.0
24,7,2.0,0.0
24,8,2.0,0.0
24,9,2.0,0.0
24,10,2.0,0.0
25,6,2.0,0.0
25,7,2.0,0.0
25,8,2.0,0.0
25,9,2.0,0.0
25,10,2.0,0.0
21,11,2.0,0.0
21,12,2.0,0.0
21,13,2.0,0.0
21,14,2.0,0.0
21,15,2.01,0.1
22,11,2.0,0.0
22,12,2.0,0.0
22,13,2.0,0.0
22,14,2.01,0.0999999999999999
22,15,2.0,0.0
23,11,2.0,0.0
23,12,2.0,0.0
23,13,2.0,0.0
23,14,2.0,0.0
23,15,2.01,0.1
24,11,2.0,0.0
24,12,2.0,0.0
24,13,2.0,0.0
24,14,2.0,0.0
24,15,2.01,0.0999999999999999
25,11,2.0,0.0
25,12,2.0,0.0
25,13,2.0,0.0
25,14,2.0,0.0
25,15,2.0,0.0
21,16,2.21,0.4093601807403323
21,17,2.59,0.4943110704237103
21,18,2.78,0.4163331998932267
21,19,2.92,0.2726599243442907
21,20,2.95,0.2190429135575904
22,16,2.21,0.4093601807403323
22,17,2.57,0.4975698519562428
22,18,2.85,0.3588702812826366
22,19,2.97,0.1714466079977653
22,20,3.0,0.0
23,16,2.25,0.4351941398892446
23,17,2.77,0.4229525846816507
23,18,2.97,0.1714466079977653
23,19,3.0,0.0
23,20,3.0,0.0
24,16,2.21,0.4093601807403323
24,17,2.7,0.4605661864718382
24,18,3.0,0.0
24,19,3.0,0.0
24,20,3.0,0.0
25,16,2.0,0.0
25,17,2.0,0.0
25,18,2.0,0.0
25,19,2.02,0.1407052941362897
25,20,2.85,0.3588702812826367
21,21,2.91,0.2876234912646614
21,22,2.92,0.2726599243442907
21,23,2.85,0.3588702812826365
21,24,2.84,0.3684529491774707
21,25,2.3,0.502518907629606
22,21,2.99,0.0999999999999999
22,22,3.0,0.0
22,23,3.0,0.0
22,24,2.97,0.1714466079977653
22,25,2.72,0.4512608598542129
23,21,3.0,0.0
23,22,3.0,0.0
23,23,3.0,0.0
23,24,3.0,0.0
23,25,2.93,0.2564323999762428
24,21,3.0,0.0
24,22,3.0,0.0
24,23,3.0,0.0
24,24,3.0,0.0
24,25,2.99,0.1
25,21,2.97,0.1714466079977652
25,22,2.99,0.1
25,23,3.0,0.0
25,24,3.0,0.0
25,25,3.0,0.0
21,26,1.93,0.5730478499949532
21,27,1.38,0.5276209229966516
21,28,1.15,0.3588702812826367
21,29,1.02,0.1407052941362896
21,30,1.02,0.1407052941362896
22,26,2.27,0.5659532050470519
22,27,1.81,0.6145541210314739
22,28,1.41,0.5336173486192844
22,29,1.13,0.3666666666666666
22,30,1.03,0.1714466079977653
