pop,t,freq_O,freq_Y,freq_B,r_mean,r_O,r_Y,r_B
0,91,0.3317,0.3255,0.3428,3.848,3.695507989146819,3.9121351766513057,3.9346557759626606
0,92,0.3362,0.3174,0.3464,3.8465,3.685901249256395,3.890044108380592,3.962471131639723
0,93,0.3132,0.326,0.3608,3.8337,3.638888888888889,3.850613496932515,3.9875277161862526
0,94,0.3038,0.337,0.3592,3.8542,3.6254114549045426,3.9189910979228486,3.986915367483296
0,95,0.306,0.3273,0.3667,3.8673,3.611111111111111,3.9773907729911397,3.9828197436596673
0,96,0.3016,0.3249,0.3735,3.8787,3.644893899204244,3.971991381963681,3.9863453815261045
0,97,0.3027,0.3323,0.365,3.8862,3.70399735711926,3.954258200421306,3.9753424657534246
0,98,0.3155,0.333,0.3515,3.8925,3.708082408874802,3.9936936936936935,3.962162162162162
0,99,0.296,0.3343,0.3697,3.905,3.719256756756757,3.993419084654502,3.9737625101433593
0,100,0.2709,0.3494,0.3797,3.8928,3.68327796234773,3.980538065254722,3.961548590992889
0,101,0.2551,0.3474,0.3975,3.8908,3.689141513132105,3.9565342544617157,3.962767295597484
0,102,0.2642,0.3206,0.4152,3.9008,3.7032551097653292,3.975670617592015,3.96868978805395
0,103,0.2853,0.2934,0.4213,3.9074,3.7336137399228884,3.9809134287661894,3.9738903394255876
0,104,0.3007,0.2863,0.413,3.9003,3.760226139008979,3.989172196996158,3.940677966101695
0,105,0.3226,0.3029,0.3745,3.897,3.7228766274023557,3.9966985803895674,3.966355140186916
0,106,0.3276,0.3181,0.3543,3.8834,3.7115384615384617,3.994341402074819,3.942703923228902
0,107,0.3171,0.3455,0.3374,3.8935,3.7004099653106275,3.9855282199710564,3.9807350326022526
0,108,0.3044,0.3543,0.3413,3.89,3.661629434954008,3.9836296923511147,3.9964840316437154
0,109,0.3046,0.3417,0.3537,3.8928,3.6871306631648064,3.9888791337430494,3.9770992366412212
0,110,0.3071,0.3191,0.3738,3.9015,3.714750895473787,3.9852710748981512,3.983413590155163
0,111,0.3246,0.3153,0.3601,3.9078,3.773875539125077,3.9946083095464635,3.952513190780339
0,112,0.3448,0.3179,0.3373,3.9055,3.7903132250580045,3.964454230890217,3.967684553809665
0,113,0.3367,0.3245,0.3388,3.9426,3.8844668844668844,3.9691833590138677,3.9749114521841795
0,114,0.3199,0.3557,0.3244,3.9393,3.849015317286652,3.972729828507169,3.9916769420468556
0,115,0.3189,0.3477,0.3334,3.9538,3.8974600188146753,3.978717285015818,3.9817036592681463
0,116,0.3134,0.3387,0.3479,3.9485,3.8765156349712826,3.9825804546796575,3.980166714573153
0,117,0.3164,0.3203,0.3633,3.958,3.891276864728192,3.9850140493287545,3.9922928709055876
0,118,0.3421,0.3115,0.3464,3.9435,3.852966968722596,3.992295345104334,3.989030023094688
0,119,0.3539,0.3065,0.3396,3.9359,3.8649335970613166,3.992822185970636,3.958480565371025
0,120,0.3611,0.3252,0.3137,3.9224,3.8047632234837994,3.995079950799508,3.9824673254701946
0,121,0.3366,0.356,0.3074,3.9228,3.8134284016636957,3.989044943820225,3.965842550422902
0,122,0.3243,0.3569,0.3188,3.9312,3.8245451742214,3.9826281871672737,3.9821204516938518
0,123,0.3054,0.3462,0.3484,3.9308,3.8169613621480027,3.979202772963605,3.9824913892078073
0,124,0.3172,0.3295,0.3533,3.9426,3.85718789407314,3.973899848254932,3.9900934050382113
0,125,0.3347,0.3101,0.3552,3.9377,3.8676426650732,3.965495001612383,3.9794481981981984
0,126,0.3543,0.3109,0.3348,3.9234,3.8563364380468528,3.9424252171116114,3.9767025089605736
0,127,0.3481,0.333,0.3189,3.9352,3.8916977879919563,3.938138138138138,3.979617434932581
0,128,0.3383,0.3478,0.3139,3.9334,3.9000886786875553,3.9163312248418634,3.988212806626314
0,129,0.3098,0.3565,0.3337,3.9317,3.933828276307295,3.8810659186535763,3.9838178004195384
0,130,0.3047,0.3382,0.3571,3.9235,3.9297669839186087,3.8710821998817266,3.9677961355362643
0,131,0.3259,0.3081,0.366,3.9046,3.939552009818963,3.818565400843882,3.945901639344262
0,132,0.3501,0.2925,0.3574,3.8923,3.919737217937732,3.7986324786324785,3.942081701175154
0,133,0.3634,0.3105,0.3261,3.8752,3.914969730324711,3.806119162640902,3.896657467034652
0,134,0.3621,0.3344,0.3035,3.8592,3.8782104391052195,3.8101076555023923,3.890609555189456
0,135,0.3475,0.3531,0.2994,3.8629,3.8920863309352516,3.8113848768054375,3.8897795591182365
0,136,0.3249,0.3557,0.3194,3.881,3.910126192674669,3.843407365757661,3.8932373199749533
0,137,0.319,0.3502,0.3308,3.865,3.897805642633229,3.8181039406053685,3.8830108827085854
